BL-DLA-2-AUDIT — Auditoría de éxito del serializador DLA-2
Ejecutado: 2026-05-24 12:46:50
project_root: C:\desarrollo\fondos
CSV:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.csv
Log:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.log

======================================================================
  MODO descarga (BD + Excel maestro)
======================================================================
  Excel maestro                           : C:\data\fondos\in\GestoresDeFondosv1.xlsx
  [219/3204] IE00B05K1Q71                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [220/3204] IE00B05QM511                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [221/3204] IE00B063CF11                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [222/3204] IE00B06CFP96                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [223/3204] IE00B073NJ12                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [224/3204] IE00B0D44176                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [225/3204] IE00B0M2Y900                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [226/3204] IE00B0MD9M11                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [227/3204] IE00B0V9SY54                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [228/3204] IE00B11XYY66                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [229/3204] IE00B11XZ103                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [230/3204] IE00B11XZ210                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [231/3204] IE00B11XZ327                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [232/3204] IE00B11XZ434                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [233/3204] IE00B11XZ764                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [234/3204] IE00B11XZ988                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [235/3204] IE00B11XZB05                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [236/3204] IE00B120J296                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [237/3204] IE00B138GV00                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [238/3204] IE00B18GC888                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [239/3204] IE00B18GCB14                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [240/3204] IE00B193MK07                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [241/3204] IE00B19Z3920                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [242/3204] IE00B19Z4B17                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [243/3204] IE00B19Z4C24                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [244/3204] IE00B19Z6F94                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [245/3204] IE00B19Z6G02                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [246/3204] IE00B19Z9612                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [247/3204] IE00B1B82251                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [248/3204] IE00B1G3DH73                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [249/3204] IE00B1W3WK72                 : FAIL_NONE      strat=none fmt=NONE
  [250/3204] IE00B1W3X261                 : FAIL_NONE      strat=none fmt=NONE
  [251/3204] IE00B1W56J03                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [252/3204] IE00B1Z6D669                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [253/3204] IE00B23T0K72                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [254/3204] IE00B23Z7J34                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [255/3204] IE00B2478W85                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [256/3204] IE00B283G405                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [257/3204] IE00B28D5Z40                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [258/3204] IE00B29LM454                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [259/3204] IE00B2Q1FK59                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [260/3204] IE00B2Q1FL66                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [261/3204] IE00B2R34T20                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [262/3204] IE00B3D1YW09                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [263/3204] IE00B3FNF870                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
